ticker,issuer_name,document_title,document_type,reporting_standard,fiscal_year,period,source_url,document_url,confidence,discovery_method,url_status,looks_like_pdf_or_xlsx,looks_like_official_report,is_ifrs_candidate,audit_status,audit_reason
MTS,MTS,MTS official summary financials 4Q 2024,IFRS annual,IFRS,2024.0,2024,https://storage.ir.mts.ru/mts-ir/images/documents/MTS__SummaryFinancials_4Q2024.xlsx,,,report_xlsx,200,True,True,True,ok,official host; IFRS/report markers; http=200; content_type=application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
NLMK,NLMK,NLMK official results page,financial_reports_page,MIXED,,,https://nlmk.com/en/ir/results/,,,financial_reports_page,200,False,False,False,rejected,no reliable IFRS/report evidence; http=200; content_type=text/html; charset=UTF-8
NVTK,NOVATEK,NOVATEK official results page,financial_reports_page,MIXED,,,https://www.novatek.ru/en/investors/results/,,,financial_reports_page,200,False,False,False,rejected,no reliable IFRS/report evidence; http=200; content_type=text/html; charset=utf-8
PHOR,PhosAgro,PhosAgro official IFRS reports page,financial_reports_page,MIXED,,,https://www.phosagro.com/investors/reports/msfo/,,,financial_reports_page,200,False,True,True,ok,official host; IFRS/report markers; http=200; content_type=text/html; charset=UTF-8
PHOR,PhosAgro,PhosAgro official IFRS annual report 2025,IFRS annual,IFRS,2025.0,2025,https://cdn.phosagro.com/upload/iblock/92d/j3831nr7hhuejv3w2m888g075kwfw3px.pdf,,,manual_report,200,True,True,True,ok,official host; IFRS/report markers; http=200; content_type=application/pdf
PLZL,Polyus,Polyus official results and reports page,financial_reports_page,MIXED,,,https://polyus.com/en/investors/results-and-reports/,,,financial_reports_page,200,False,True,False,needs_review,official report page but IFRS markers not explicit; http=200; content_type=text/html; charset=UTF-8
ROSN,Rosneft,Rosneft official consolidated financial statements page,financial_reports_page,MIXED,,,https://www.rosneft.com/Investors/Reports_and_presentations/Consolidated_financial_statements/,,,financial_reports_page,200,False,True,True,ok,official host; IFRS/report markers; http=200; content_type=text/html
SBER,Sber,Sber official static IR reports page,financial_reports_page,MIXED,,,https://www.sberbank.com/common/img/uploaded/redirected/com/investor-relations/financial-results-and-presentations/,,,financial_reports_page,request_error,False,False,False,failed,"request_error: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
SBER,Sber,Sber official group results page,financial_reports_page,MIXED,,,https://www.sberbank.com/investor-relations/groupresults,,,financial_reports_page,200,False,True,False,needs_review,"official report page but IFRS markers not explicit; http=200; content_type=text/html; charset=utf-8, text/html"
SBER,Sber,Sber official IFRS interim report 6M 2020,IFRS interim,IFRS,2020.0,2020H1,https://www.sberbank.com/common/img/uploaded/files/info/en/sberbank_ifrs_6m2020_eng.pdf,,,manual_report,request_error,True,True,True,failed,"request_error: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
